Frequency
25877
16597
47743
24709
13289
7422
4512
2774
1848
1249
927
709
580
507
461
440
463
494
586
709
842
662
286
112
52
25
9
9
0
3
0
1
0
0
0
0
1
1
2
5
6
38
14
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
